Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.8264048896692133,-6.019547975788913,-2.4566049403177887,-5.142874970038292,-0.5486749164755919 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0022972727310616,-8.487384161124025,-3.2922597444248824,-7.076147429390744,-0.632165463406138 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-1.2006231501734946,-10.964441418652563,-4.12639325136405,-9.015698894634739,-0.7530449072481802 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.4160819149676139,-13.447990326904714,-4.97250373447082,-10.96454349311307,-0.9012041417401249 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-1.4685928432192928,-13.250152327547886,-4.994105530052252,-10.849249529704708,-1.0347018811894329 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-1.5374130608887554,-13.072824003298122,-4.992414853379103,-10.720132286400144,-1.1335043433044186 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-1.5876689487318113,-12.894158620348746,-4.985650291947877,-10.589491670254006,-1.2020471235525397 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.6253985184891449,-12.71554461132693,-4.966375584600996,-10.454428792373506,-1.2517867917595989 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.6609610390401347,-12.592324064897032,-4.9425637962636419,-10.324540806130927,-1.2926295939350228 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.6925373433356935,-12.47059218531638,-4.916151036337851,-10.195155929121598,-1.329871538915168 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.722775308358985,-12.35053412380328,-4.887772947096096,-10.065808367197633,-1.3653948234137488 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.752277216756548,-12.232212114130997,-4.8586949243815529,-9.936898049119009,-1.399689986603431 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.785475669196073,-12.1997586016484,-4.898389451803837,-9.956103434931379,-1.4339629230183609 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.8182979816895367,-12.168571195735137,-4.931587940816314,-9.981832207118828,-1.468703448508272 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.8513401005411554,-12.139107389608914,-4.963697158320429,-10.007801478555848,-1.5038237063479539 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.8845215903358744,-12.111227606045416,-4.995505402051265,-10.033179491504257,-1.5391007027150552 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-1.910742098249987,-11.98882653013082,-4.977666359873183,-9.953444650800805,-1.5731146586021736 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.937699215825171,-11.866572232163959,-4.961999526240447,-9.866395624655752,-1.605349121083535 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-1.963555908825832,-11.744255987528654,-4.946489016660735,-9.778384183800086,-1.6360999298915533 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.9885474748474009,-11.62195233498314,-4.9302773100282029,-9.690000849279386,-1.6658005994346888 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.0222167859055379,-11.62266557109708,-4.952365694226614,-9.692856671342156,-1.696200246688265 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.0543627638471819,-11.623229447946552,-4.976392993475542,-9.699462142718062,-1.7281113531049366 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.0871854141310179,-11.623878032594626,-5.0002369294390409,-9.706859356315704,-1.7612678836220353 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.120396923760702,-11.62452320955587,-5.024343856510313,-9.714683605291214,-1.79512631045993 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.1513779660982514,-11.597791321366613,-5.0577936450462179,-9.734330076160234,-1.8290487801371372 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.1825767428834736,-11.572451979953366,-5.086823249982444,-9.754725294263267,-1.8625918883470545 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.21357901094526,-11.548391349351372,-5.115262320957072,-9.774881117960377,-1.8956913325164242 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.2443273878326148,-11.525534414279243,-5.143235698253079,-9.794429301545734,-1.9284322152843017 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-2.2760079651567044,-11.478727424790897,-5.138826320936289,-9.761975914356185,-1.961085420191353 
 01/01  07:30:00,-10.3,48.37781979229514,1.0,22.819555959623899,1.0,22.819555959623899,48.37781979229514,-2.20632049789192,-9.806175709831872,-4.742216151892876,-9.363169231112636,-1.9804656845509728 
 01/01  07:45:00,-10.15,237.88593593245407,1.0,109.75755355442667,1.0,109.75755355442667,237.88593593245407,-1.8612367465890725,-3.4534956924326485,-3.1424075062834619,-7.976065216729296,-1.95098679291348 
 01/01  08:00:00,-10.0,433.6486066510219,1.0,195.8764694434918,1.0,195.8764694434918,433.6486066510219,-1.4524942803743533,3.0369221053764967,-1.3937391281714327,-6.550259090110899,-1.8680430336435333 
 01/01  08:15:00,-9.725,629.8133241912386,1.0,278.97248314719988,1.0,278.97248314719988,629.8133241912386,-1.1346607223577304,8.228442612052252,0.18352171852046696,-5.307496301105459,-1.7429445477170265 
 01/01  08:30:00,-9.45,837.7116854113558,1.0,364.91995730569456,1.0,364.91995730569456,837.7116854113558,-0.7964378340846108,13.309980224815375,1.7411952379569585,-4.070977295380544,-1.58202800336631 
