Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.975222954765287,-5.949776899268184,0.7193401210398633,-4.544112660248118,3.3546942928578646 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.7959197922913017,-8.417602745249777,-0.0005418294229571075,-6.550928240645874,3.26144771685765 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,2.594446808637426,-10.893781776903808,-0.7236498499652271,-8.563973386274029,3.133997833464736 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.3755822166809135,-13.376486897892404,-1.460929113317377,-10.585364042519473,2.9822417406636396 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,2.3135028285399934,-13.177959636950549,-1.5090118828999267,-10.442286365101382,2.845784450586267 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,2.2361962964737915,-13.00081373206112,-1.5222172739080407,-10.31650410545285,2.743008772459269 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,2.176893141045038,-12.822399827642963,-1.5382186256130127,-10.170133901844509,2.6685536856373854 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,2.129552265260386,-12.644062309481943,-1.533506616253021,-10.039568657745236,2.6110570156817589 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.08410175157239,-12.51912603807064,-1.5247823919559096,-9.899962946213407,2.561088574075232 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.0421790694682078,-12.395609469659944,-1.5144325586395553,-9.759503525374044,2.513850469690162 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0013019809662806,-12.273678173387335,-1.5023030276037162,-9.61880806416184,2.4678334655538647 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.9610138572714,-12.153390621283603,-1.4895021040761095,-9.478316322365686,2.4227704705376689 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.9169237725785078,-12.123388555254179,-1.5407506475276023,-9.505762694012106,2.377563312372643 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8732146719854992,-12.09455331770529,-1.585022866371105,-9.540251680462518,2.331811997186989 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.829267576755753,-12.067326897741593,-1.6283017491617784,-9.574697833706808,2.2856686682274978 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,1.7852001046062898,-12.041574030663888,-1.6713032911143842,-9.608295842847952,2.239388465674279 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,1.7469352281468949,-11.919446020678917,-1.6694870970393368,-9.526517448764367,2.194281521719762 
