Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.43470442116635729,-6.012242961824148,-1.688516531179971,-5.403706159863532,-0.14205213400318573 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.6062373250383749,-8.480142922182436,-2.3433389598901614,-7.470398613147495,-0.22019953753451503 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-0.8001209522396067,-10.956977296711357,-2.996724525610091,-9.543673163996346,-0.3327631159516575 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.0085511669192294,-13.44022698957195,-3.663151105255565,-11.625732128593882,-0.47060688670030967 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-1.0572173991118153,-13.242207698737137,-3.7167442452153525,-11.486471756996594,-0.5957465775172881 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-1.1222593483653949,-13.064822307245585,-3.730042565928443,-11.339611752829342,-0.6892997295572466 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-1.1702410279553175,-12.886166737727168,-3.7389417773993047,-11.19232365358664,-0.7549922495072675 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.2065504101051797,-12.70756325064365,-3.7313503810137265,-11.051903296009755,-0.8031665984193285 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.2411759868081778,-12.584120699764523,-3.7251255614485219,-10.918771146477696,-0.8430788686539973 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.272047244844407,-12.462157069212717,-3.716666366844038,-10.786187526427739,-0.8797349734345598 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.3007170202183234,-12.341855000856498,-3.7061951866011215,-10.65377560773851,-0.9147775124419184 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.3297729223470199,-12.223316432549855,-3.694697849878253,-10.52177262624025,-0.9486847645343464 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.3631880466300517,-12.191096734700786,-3.730029714624777,-10.530509678590363,-0.9825297498483493 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.3951826949385685,-12.160094784326225,-3.7606554678312706,-10.546347647149674,-1.016669264879142 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.4274277602630708,-12.130847690380668,-3.790331030869197,-10.562308506889395,-1.0509873344342618 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.4597274127360574,-12.103168811392937,-3.8198705367411778,-10.5778213693103,-1.0853177117989077 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-1.48529246614114,-11.98076019933573,-3.814004568634118,-10.489320150527988,-1.1184965431688772 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.5116015470960789,-11.858497277208958,-3.8095468010236575,-10.39310998652735,-1.1501075983894936 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-1.5369086335492109,-11.736177362105808,-3.8051010580538788,-10.296109104740026,-1.1804138616993659 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.5614360531896235,-11.613871019907752,-3.7999325125036877,-10.198864516479717,-1.2097847750847466 
