Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.914808829919393,-5.914419572709362,2.358146917647332,-4.244495761139092,5.343677670292838 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.731752402264893,-8.382053066527519,1.6705872547205445,-6.27066347874927,5.245120696127709 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,4.528014227160265,-10.85774784036293,0.9775174450419399,-8.303088402612559,5.113267950086343 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.307810675191002,-13.340057444231574,0.26995514073189499,-10.34346064049862,4.958226310412861 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.239333628726026,-13.141254970651154,0.2145120173674968,-10.194039268454162,4.818853137729733 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.157200764300369,-12.964176672512174,0.18897972347144788,-10.05721213105852,4.712782034580329 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,4.092964640105866,-12.78590296774144,0.17375369306046196,-9.929844194913472,4.63448426276754 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,4.040281000973181,-12.607703069470999,0.16324207100058175,-9.779145790389862,4.572392323737377 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.989564504869591,-12.481897769255325,0.1688547380089176,-9.643974148856444,4.517317106541745 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.9420819185918947,-12.357471538595153,0.16890430084174569,-9.489626268516873,4.464618700406187 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,3.8956430116236544,-12.234587233687114,0.17829113693790078,-9.353512960120498,4.413032269842756 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8497227087743757,-12.11329526370282,0.18518328916184147,-9.20907102438946,4.362370486412383 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7999562472446168,-12.084547057539434,0.12793244597673948,-9.241401804216708,4.311507014069691 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.750579845407791,-12.056914772498749,0.07782727228311615,-9.28079728954242,4.260044281110421 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7009496891263549,-12.030832510776892,0.028685081751973486,-9.320015066359702,4.2081625571061329 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.651200947639975,-12.006166892226517,-0.020185822980465674,-9.358268417095986,4.156142321889903 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,3.6071939616601775,-11.884177522654701,-0.02521965518531033,-9.276411008876835,4.105317180430646 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,3.563430383348194,-11.762261428976954,-0.032941070097535888,-9.186578541994607,4.056208118114634 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,3.5207447040044279,-11.640321589432283,-0.04046563240171963,-9.095779061877693,4.008562012411585 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4789545052682406,-11.518390945023555,-0.04719266537307476,-9.004683834101343,3.961966260848968 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.4300537621492439,-11.51935636634486,-0.08754223417577123,-9.007148078998398,3.9147369294875937 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.3817877083071528,-11.52026044492481,-0.12646263566938388,-9.016061821334802,3.8661338807676208 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.3329683209071838,-11.52120738407305,-0.16514448024065588,-9.025615590172948,3.8164471393424499 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2838225458873668,-11.522152421710692,-0.20418005534497753,-9.03534880328914,3.7662115970086216 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.236670012907823,-11.498403476384008,-0.2518313123528628,-9.068003385373402,3.7160798293983805 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.189379860729909,-11.475887409478162,-0.29741914451108189,-9.100906810064203,3.6664004672502057 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.1423606771258107,-11.454515905818374,-0.3424890379280896,-9.133013502178529,3.617171681695846 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0956283652547245,-11.434220954382488,-0.38702245268370918,-9.164149356514145,3.5682941915737156 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,3.0483405174509579,-11.385403211887312,-0.40081955159132578,-9.1125345155466,3.519534603953116 
 01/01  07:30:00,-10.3,148.01653406384325,1.0,22.819555959623899,1.0,22.819555959623899,148.01653406384325,3.120491386964213,-9.711901549198883,-0.08305712852074976,-8.769615659686224,3.488661757282514 
 01/01  07:45:00,-10.15,726.7626658810535,1.0,109.75755355442667,1.0,109.75755355442667,726.7626658810535,3.518801854928448,-3.34369839040023,1.2462223873095582,-7.606085692211536,3.52515147753376 
 01/01  08:00:00,-10.0,1321.5398876203654,1.0,195.8764694434918,1.0,195.8764694434918,1321.5398876203654,4.0487491327073459,3.163710950223116,2.696565615288705,-6.416426723560448,3.6353939357759255 
 01/01  08:15:00,-9.725,1914.2684677032626,1.0,278.97248314719988,1.0,278.97248314719988,1914.2684677032626,4.430072712717529,8.314522199255329,4.204292745846828,-5.335940032138296,3.7983112828785807 
 01/01  08:30:00,-9.45,2539.072313923231,1.0,364.91995730569456,1.0,364.91995730569456,2539.072313923231,4.8646344907029459,13.397958077755936,5.682773290561499,-4.272395570716924,4.005524728737341 
 01/01  08:45:00,-9.175,2952.440164549716,1.0,420.35879993239237,1.0,420.35879993239237,2952.440164549716,5.1695528199567939,16.15532910870369,6.659406833681828,-3.598844125337962,4.23677972082753 
 01/01  09:00:00,-8.9,3381.5497710085135,1.0,478.00138373643099,1.0,478.00138373643099,3381.5497710085135,5.526939957583283,19.15039846159211,7.636213283393886,-2.9138913140550359,4.481694313271671 
 01/01  09:15:00,-8.350000000000002,3819.72525310092,1.0,536.9185644770597,1.0,536.9185644770597,3819.72525310092,5.830040791892226,20.267820757024116,8.634617790461335,-2.2161783452320948,4.740299430750467 
 01/01  09:30:00,-7.800000000000001,4273.038382064532,1.0,598.0969199229219,1.0,598.0969199229219,4273.038382064532,6.1611263166042129,21.52067632214763,9.648221848730146,-1.5200147781387159,5.018979141347855 
 01/01  09:45:00,-7.25,4570.41705598247,1.0,637.6133352894237,1.0,637.6133352894237,4570.41705598247,6.416926700760856,21.580267868509634,10.374875194205402,-1.0390690830143968,5.310486039749922 
 01/01  10:00:00,-6.7,4863.415499985352,1.0,676.6412284283772,1.0,676.6412284283772,4863.415499985352,6.697555113404836,21.740433986394895,11.07727267674818,-0.5610005836192613,5.603202862321956 
 01/01  10:15:00,-6.275,5151.083555253686,1.0,715.0112779846514,1.0,715.0112779846514,5151.083555253686,7.05585815191407,23.838366886869705,11.837952933027794,0.16045256549239185,5.898038691997367 
 01/01  10:30:00,-5.85,5431.980261502767,1.0,752.5077794605232,1.0,752.5077794605232,5431.980261502767,7.404165765738555,25.773717818980506,12.590794300094672,0.8633654842274154,6.018285301199484 
 01/01  10:45:00,-5.425,5348.498206243613,1.0,742.5988714321785,1.0,742.5988714321785,5348.498206243613,7.567709528134658,25.624558654091709,12.728893498093385,1.1443112553986339,6.242794733619605 
 01/01  11:00:00,-5.0,5229.212085323862,1.0,727.8169025450712,1.0,727.8169025450712,5229.212085323862,7.700087617577874,25.39464088253759,12.753290907380233,1.3865877662785238,6.538102377290822 
 01/01  11:15:00,-4.575,5024.076099878796,1.0,700.3759009170325,1.0,700.3759009170325,5024.076099878796,7.872861099257986,24.65424448700985,12.67031396950631,1.5737146144547865,6.824118463369342 
 01/01  11:30:00,-4.15,4871.94122931558,1.0,681.6705029034473,1.0,681.6705029034473,4871.94122931558,8.06539749611366,24.324181399828157,12.699628938934098,1.8350029742030075,7.071507163555539 
 01/01  11:45:00,-3.7249999999999998,4277.158639322997,1.0,602.01865277251,1.0,602.01865277251,4277.158639322997,8.009883700868743,21.296166189089573,11.966569506320923,1.5906988110923522,7.250777528406741 
 01/01  12:00:00,-3.3,3493.2091881935878,1.0,493.55004396206007,1.0,493.55004396206007,3493.2091881935878,7.831562272610786,17.11798327685213,10.771110846984584,1.082029535293259,7.34147411443455 
 01/01  12:15:00,-3.0249999999999996,2884.3295946875239,1.0,412.335026418112,1.0,412.335026418112,2884.3295946875239,7.70588349989888,14.27396378617729,9.815840781363818,0.7310836291696319,7.3644321927496609 
 01/01  12:30:00,-2.75,2112.505852962877,1.0,305.94037763660148,1.0,305.94037763660148,2112.505852962877,7.410605770458681,10.10113293925277,8.479041890146903,0.14102689535707214,7.331933115808962 
 01/01  12:45:00,-2.475,1928.6430638732532,1.0,281.0763483922329,1.0,281.0763483922329,1928.6430638732532,7.387451413369215,9.58895492642777,8.17755400483361,0.24142482661306986,7.283156436309759 
 01/01  13:00:00,-2.2,1748.610390799348,1.0,256.7721209415886,1.0,256.7721209415886,1748.610390799348,7.354314653854294,8.98191613504894,7.942240229112315,0.3662454583952126,7.241835872292731 
 01/01  13:15:00,-1.9250000000000003,1428.4368474723443,1.0,210.73276284570657,1.0,210.73276284570657,1428.4368474723443,7.219768855923384,7.43472509331639,7.3700449180630589,0.26343096044035976,7.204881368965562 
 01/01  13:30:00,-1.6500000000000002,1268.9130128286689,1.0,189.38488290342594,1.0,189.38488290342594,1268.9130128286689,7.186744745531805,7.028586369312215,7.105889379161624,0.3658247118043505,7.172743953782225 
 01/01  13:45:00,-1.375,1210.1839078162066,1.0,179.3940297802914,1.0,179.3940297802914,1210.1839078162066,7.1814778215433539,7.152071446908078,7.066390437995324,0.5931160440204621,7.146841869220794 
 01/01  14:00:00,-1.1,1150.7838549837705,1.0,169.43349014176136,1.0,169.43349014176136,1150.7838549837705,7.172902711206644,7.2510259965547,7.020673043852355,0.817764025794645,7.1265504260796679 
 01/01  14:15:00,-1.1,1211.2722036175777,1.0,178.15692317953907,1.0,178.15692317953907,1211.2722036175777,7.231772447470857,8.068081952082038,7.177547161510745,0.9643185146110227,7.114566362259716 
 01/01  14:30:00,-1.1,1137.9569692377798,1.0,166.40516310952945,1.0,166.40516310952945,1137.9569692377798,7.182317950847527,7.705567323684558,7.021071471762468,0.9026943502149152,7.1060092025106968 
 01/01  14:45:00,-1.1,959.5048700077512,1.0,140.8967369711617,1.0,140.8967369711617,959.5048700077512,7.069296142673169,6.4990344588999939,6.6136632488769468,0.6680757411789386,7.0902569820943299 
 01/01  15:00:00,-1.1,789.5943100591383,1.0,116.57355796743004,1.0,116.57355796743004,789.5943100591383,6.952525145206363,5.2882230403506729,6.221056176325419,0.42571772885980865,7.057348728061252 
 01/01  15:15:00,-1.1,626.6670946064958,1.0,93.14939272689483,1.0,93.14939272689483,626.6670946064958,6.853117968668607,4.239094412504811,5.874339473350915,0.2634675596899001,7.005702972462796 
 01/01  15:30:00,-1.1,389.0360678411529,1.0,57.94047897402063,1.0,57.94047897402063,389.0360678411529,6.66298959475636,2.1138593048405087,5.340655367150134,-0.05531029809151278,6.92830696509336 
 01/01  15:45:00,-1.1,301.6300334628514,1.0,45.38251793443488,1.0,45.38251793443488,301.6300334628514,6.589646895789573,1.5027257461041413,5.119444661993782,-0.11794100545262154,6.835904131131942 
 01/01  16:00:00,-1.1,210.55774644166127,1.0,32.02625108222755,1.0,32.02625108222755,210.55774644166127,6.476809775752509,0.6383204421270446,4.906506642162526,-0.1864166313251303,6.74300206833018 
 01/01  16:15:00,-1.1,115.49062901598868,1.0,17.762198626050539,1.0,17.762198626050539,115.49062901598868,6.338520069374389,-0.6142761898126882,4.636229460842571,-0.36502229274640288,6.650422342733367 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.150589947198504,-2.4521659908346726,4.284372982010723,-0.657117609235911,6.5469191769193169 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0955873446667889,-2.588526868807553,4.205942560547555,-0.6529051992896484,6.446424257118644 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0252219302480249,-2.7805638099157434,4.165549170876716,-0.6309323586311848,6.36202139910957 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,5.966239408102279,-2.928268094123624,4.0737952425131429,-0.7661872375624057,6.294377009448945 
