Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.6795988224761025,-5.973475230745997,-0.7225670877320454,-4.483938307681115,2.0197609354863435 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.4992762288629607,-8.441441666850676,-1.5686061137528214,-6.399626039419161,1.926016162382876 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.29446349911148,-10.918016519075329,-2.416839144672622,-8.321438954760197,1.7955924657564469 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0734025766246307,-13.401061248234031,-3.2789135376028755,-10.252387065352196,1.6390953629344856 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,1.0114901677872466,-13.202859755914322,-3.3060932448290716,-10.123332367953254,1.4989244170627932 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.9343361324057958,-13.025690941377077,-3.305843368329761,-10.008226860524417,1.3944898239730026 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,0.8762086730288803,-12.847203656744734,-3.3033012972440476,-9.883557889700512,1.320265248309019 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8306299783144194,-12.668784395373704,-3.2887824466611166,-9.753340240282,1.2641454088411779 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.7872961284366544,-12.544464278814184,-3.2652441113825718,-9.61810937435041,1.2161934037287908 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.7477185874286583,-12.421590088644818,-3.23955035007657,-9.482613817813786,1.171340032119864 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.7093310416412598,-12.300333527536897,-3.212060238631693,-9.346947915337183,1.1279340510879199 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6716250262193924,-12.180753591593279,-3.1839107710800365,-9.211566946976518,1.085631156536047 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6299966465045376,-12.14992360722872,-3.2350594562905146,-9.242873252214338,1.0430920985643182 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5887148859186728,-12.120299379371188,-3.278580215542547,-9.280734124244248,0.999824385680706 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5471174749327058,-12.092324709038922,-3.3208688721411478,-9.31872375801288,0.9560136377881653 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5053355650327911,-12.065860714222069,-3.3627986454630447,-9.355923959690927,0.9119780948902382 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,0.4695151075995568,-11.943666516392789,-3.350031965191647,-9.27974070002847,0.8691960165916196 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.4339609622532767,-11.821563422348719,-3.3401678774855556,-9.196208092130178,0.8282609017621484 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,0.39952025463890647,-11.699435472311663,-3.3302685419129149,-9.111561446224983,0.7889132225543133 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.36601603477846259,-11.577316206864012,-3.319632284849945,-9.02651523088116,0.7507021684235856 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.32506170208560467,-11.578160260779463,-3.3470983973134027,-9.032055068208934,0.7119255312005526 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2847170320031875,-11.578912626442598,-3.3766570681773375,-9.041030621808546,0.6717083023105979 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.24380498491112682,-11.579710870999492,-3.4062790697988705,-9.050759110383865,0.6302618428844445 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.20250910672806927,-11.580509444752126,-3.4361765922315046,-9.060858462709348,0.5881267735982856 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.16324203999671059,-11.555082782571877,-3.4805924215526717,-9.091127705320105,0.5458685044926165 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1237718110046655,-11.530981920430565,-3.5193512623010294,-9.122456228141687,0.5039360824951791 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.08449933199570148,-11.50810046793192,-3.5573035484408139,-9.15342555363884,0.462423877419082 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.04548910025840401,-11.48636651146014,-3.594666186782206,-9.183552164890103,0.42126950969918799 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.005808759967361186,-11.438723551599163,-3.593954767410878,-9.135799664448883,0.380323419119904 
 01/01  07:30:00,-10.3,93.05655358355645,1.0,22.819555959623899,1.0,22.819555959623899,93.05655358355645,0.07687994413171248,-9.765743445181398,-3.1784224611650417,-8.718952242578553,0.3555645146728746 
 01/01  07:45:00,-10.15,457.6558068976325,1.0,109.75755355442667,1.0,109.75755355442667,457.6558068976325,0.4503292280709221,-3.4058758564026108,-1.5294824425466232,-7.264826628260209,0.39070209038000067 
 01/01  08:00:00,-10.0,834.7083798112577,1.0,195.8764694434918,1.0,195.8764694434918,834.7083798112577,0.9122209536345962,3.0827013849352116,0.21960760369279343,-5.801810775257877,0.4914157685177935 
 01/01  08:15:00,-9.725,1213.0424691673657,1.0,278.97248314719988,1.0,278.97248314719988,1213.0424691673657,1.270900646739928,8.266841401211427,1.8994121218311194,-4.511783449450547,0.6387231570781913 
 01/01  08:30:00,-9.45,1614.6596458019777,1.0,364.91995730569456,1.0,364.91995730569456,1614.6596458019777,1.655566065962584,13.347931728883533,3.5055158034642774,-3.2585129640330026,0.8257482221334646 
 01/01  08:45:00,-9.175,1884.2599245450097,1.0,420.35879993239237,1.0,420.35879993239237,1884.2599245450097,1.9221910733167023,16.107791237283697,4.533770864274004,-2.488578177818681,1.0334093147542185 
 01/01  09:00:00,-8.9,2165.580052602723,1.0,478.00138373643099,1.0,478.00138373643099,2165.580052602723,2.235069393754329,19.10356355434345,5.574208129412455,-1.7009262235895336,1.252650725163462 
