Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.027530647104080549,-6.003773083361014,-1.8400361370671022,-4.939534160811149,0.3270204828235296 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.15005741921170696,-8.47173076534694,-2.6708270259593975,-6.872735409845859,0.2402846064234233 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-0.3498953580774641,-10.948596558301379,-3.5016922604693265,-8.812259025394042,0.11658488337089848 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.5669343939898988,-13.431981916458297,-4.345046621687686,-10.760900902661377,-0.0338257902182419 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.6224132583888248,-13.234009565469677,-4.37310988142724,-10.633263497598307,-0.16911695363392638 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.6937868859337646,-13.056732514468506,-4.369715429257894,-10.514004358754221,-0.2694668116295357 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.746526258121458,-12.878125162563931,-4.364551407046179,-10.385338920832283,-0.33965489036998466 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.786761653451206,-12.699575266621045,-4.347478998372026,-10.251303574667532,-0.3913388774309624 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.8248232441770047,-12.57597706244792,-4.324586152285292,-10.119345386649457,-0.4344233647894105 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.8589932057373949,-12.453853311752898,-4.299236772484619,-9.987639914205431,-0.4741148404110198 
