Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.9064703403913388,-5.969303198284646,-0.2947032211364444,-4.624821536313675,2.255929664519043 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.7276498625894788,-8.437242126691905,-1.0685946824225994,-6.5939458493098759,2.164336122982018 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.526166362250052,-10.913696489023663,-1.8447359813749814,-8.56930401335535,2.0373922720024297 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.306897110747734,-13.396661140903826,-2.634574780838136,-10.553340502876836,1.8851435563289858 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,1.2467245584089675,-13.198329226952819,-2.6731745606292636,-10.417042191461406,1.748329975798379 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,1.1710458358068128,-13.021145604331375,-2.6792425160019777,-10.295158819391532,1.645941567676084 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,1.113719576305115,-12.84266436801197,-2.688213417638167,-10.153199900533139,1.5727054358935385 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0686634834588656,-12.664254426012587,-2.676377607356244,-10.025899529254332,1.5170780405067879 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0256301669135713,-12.539809566534988,-2.660468523807026,-9.889535602408728,1.4694054890623554 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9862748777268477,-12.416805095690489,-2.6429053252826977,-9.75228605374491,1.4247117489633632 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9480545785135526,-12.295411869950668,-2.6235557574905217,-9.614805585764202,1.3813753042600024 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9104697454707827,-12.175689073504128,-2.6035329235442647,-9.477582330418898,1.3390697177723088 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8690638693160351,-12.144999611187617,-2.6527362051615457,-9.504763401504193,1.296613682387939 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8280262041100371,-12.115506663820297,-2.6947810796982596,-9.538815984464918,1.2535701384488039 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7867296924183566,-12.08765534066754,-2.7357429275904225,-9.572926027849121,1.2100923585806305 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7452904901447985,-12.06130853954529,-2.7764008912804458,-9.606242743229132,1.1664487546075695 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,0.7097291365088255,-11.93911253967098,-2.7686146909892388,-9.526409732013292,1.123997520125696 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.6744080688974151,-11.817008101306949,-2.763548988283617,-9.438965610602225,1.0832891057877106 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,0.6401518315153767,-11.694880199149758,-2.758385836676382,-9.350482582225709,1.0440828072029325 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6067919512769134,-11.572761389390536,-2.7524771530131035,-9.26165702359026,1.0059599102449602 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5660411070858666,-11.573598689189666,-2.7811579570552569,-9.266158807067996,0.9672887192137738 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5259012806767683,-11.574346897305955,-2.811842882042413,-9.274114981257583,0.9272220147041014 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.485206653592391,-11.57514031332734,-2.842551142130219,-9.282834982888403,0.885963667619962 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.444084117016877,-11.575934018104493,-2.8771701240812037,-9.290338958114149,0.8439358659897291 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4050693777801168,-11.550626502920423,-2.9167901556775748,-9.318051313906608,0.8018918114899324 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3658417134087013,-11.526632676294647,-2.9542953867787675,-9.346180973862488,0.7602755899212236 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3268557224331144,-11.503853457747717,-2.991285134592431,-9.37368606225408,0.7191211445590597 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.288146365667825,-11.482217484734147,-3.0277524780118485,-9.400356134699223,0.6783273347887109 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.2487588628172104,-11.43446558025784,-3.028242566837889,-9.364381143615845,0.6376943002594558 
 01/01  07:30:00,-10.3,93.05655358355645,1.0,22.819555959623899,1.0,22.819555959623899,93.05655358355645,0.31947142965439448,-9.76149033681791,-2.625339874472729,-8.947095020349366,0.6130354176335262 
 01/01  07:45:00,-10.15,457.6558068976325,1.0,109.75755355442667,1.0,109.75755355442667,457.6558068976325,0.6906438728634938,-3.401215550384418,-0.9946844307751235,-7.531427229343706,0.6478190822945374 
 01/01  08:00:00,-10.0,834.7083798112577,1.0,195.8764694434918,1.0,195.8764694434918,834.7083798112577,1.1563930236095379,3.089999178354633,0.7683561730538031,-6.102968198359292,0.7469939990543186 
 01/01  08:15:00,-9.725,1213.0424691673657,1.0,278.97248314719988,1.0,278.97248314719988,1213.0424691673657,1.5102707083776684,8.270309672925896,2.3993078557497258,-4.857501311226713,0.8936512135292973 
 01/01  08:30:00,-9.45,1614.6596458019777,1.0,364.91995730569456,1.0,364.91995730569456,1614.6596458019777,1.896209673147709,13.351730873922638,3.9846428444512869,-3.6511645212086707,1.0805569720713673 
 01/01  08:45:00,-9.175,1884.2599245450097,1.0,420.35879993239237,1.0,420.35879993239237,1884.2599245450097,2.162290247389736,16.111308436901529,5.005404169907251,-2.9050613145117269,1.2884245606069876 
 01/01  09:00:00,-8.9,2165.580052602723,1.0,478.00138373643099,1.0,478.00138373643099,2165.580052602723,2.4751996759850507,19.10699804931559,6.035973683861869,-2.1420546683034447,1.5079962497895303 
 01/01  09:15:00,-8.350000000000002,2454.3103898650085,1.0,536.9185644770597,1.0,536.9185644770597,2454.3103898650085,2.7295291499078839,20.22750561459374,7.073048697673698,-1.4052458512196609,1.7409660361387443 
 01/01  09:30:00,-7.800000000000001,2754.195489731118,1.0,598.0969199229219,1.0,598.0969199229219,2754.195489731118,3.0085206014546679,21.482662581203536,8.127578057628285,-0.6705615376134801,1.9933172033557576 
 01/01  09:45:00,-7.25,2954.4957344842507,1.0,637.6133352894237,1.0,637.6133352894237,2954.4957344842507,3.219430223894823,21.544415196020429,8.853804372583,-0.1892098191444802,2.250566341153074 
 01/01  10:00:00,-6.7,3152.384503655079,1.0,676.6412284283772,1.0,676.6412284283772,3152.384503655079,3.4491762189610024,21.706218977285319,9.558040605724387,0.28862352971032126,2.5019245608001836 
 01/01  10:15:00,-6.275,3346.9823591773949,1.0,715.0112779846514,1.0,715.0112779846514,3346.9823591773949,3.7560680693960566,23.803660259841469,10.339353844139623,1.0422012767494949,2.7507949207110844 
 01/01  10:30:00,-5.85,3537.0739759815935,1.0,752.5077794605232,1.0,752.5077794605232,3537.0739759815935,4.049791071694034,25.738681165547115,11.105864709970718,1.7758828385502739,3.0020787820599277 
 01/01  10:45:00,-5.425,3486.3549214294764,1.0,742.5988714321785,1.0,742.5988714321785,3486.3549214294764,4.217447879992617,25.590587186920986,11.220898393714038,2.035967273202232,3.2394549122752158 
 01/01  11:00:00,-5.0,3410.7994498435948,1.0,727.8169025450712,1.0,727.8169025450712,3410.7994498435948,4.381107690066385,25.361210150416736,11.249202705468008,2.257255982977995,3.451288858008505 
 01/01  11:15:00,-4.575,3278.643045900458,1.0,700.3759009170325,1.0,700.3759009170325,3278.643045900458,4.4926286950715179,24.61847323411537,11.1070538324974,2.3943602007220194,3.631711285573992 
 01/01  11:30:00,-4.15,3178.532288203043,1.0,681.6705029034473,1.0,681.6705029034473,3178.532288203043,4.623869504080124,24.287857685510475,11.076681348848979,2.6198950442303614,3.7882295698328978 
 01/01  11:45:00,-3.7249999999999998,2787.510954562938,1.0,602.01865277251,1.0,602.01865277251,2787.510954562938,4.539249288363852,21.25951017898211,10.195011225480585,2.2578707692508717,3.9013841140836176 
 01/01  12:00:00,-3.3,2274.693096093222,1.0,493.55004396206007,1.0,493.55004396206007,2274.693096093222,4.35707086674171,17.080865616225297,8.81703550383645,1.582993007420157,3.9505948771223609 
 01/01  12:15:00,-3.0249999999999996,1872.7821239047929,1.0,412.335026418112,1.0,412.335026418112,1872.7821239047929,4.2287785962597879,14.236048303281674,7.762309058263668,1.1223393902249655,3.94950611024277 
 01/01  12:30:00,-2.75,1367.06607109172,1.0,305.94037763660148,1.0,305.94037763660148,1367.06607109172,3.958324050645791,10.062600154264212,6.276259057214361,0.3716832313878058,3.906566880308919 
 01/01  12:45:00,-2.475,1245.7174943252294,1.0,281.0763483922329,1.0,281.0763483922329,1245.7174943252294,3.942778026127165,9.54920790511086,5.969753531188815,0.4324642608289082,3.8528679659167865 
 01/01  13:00:00,-2.2,1126.9065105399337,1.0,256.7721209415886,1.0,256.7721209415886,1126.9065105399337,3.9118616595852564,8.9419702217795,5.7182104138138929,0.5172480408749038,3.80767503991635 
 01/01  13:15:00,-1.9250000000000003,919.070031690966,1.0,210.73276284570657,1.0,210.73276284570657,919.070031690966,3.801109794218352,7.393640329040931,5.089896559079307,0.33174282416428016,3.7672896918386344 
 01/01  13:30:00,-1.6500000000000002,814.001101350858,1.0,189.38488290342594,1.0,189.38488290342594,814.001101350858,3.775817039944599,6.986837659154688,4.83832389663479,0.40077354703930725,3.7320666178113819 
 01/01  13:45:00,-1.375,776.7255076603376,1.0,179.3940297802914,1.0,179.3940297802914,776.7255076603376,3.7770527376720199,7.107575855167769,4.7838331656731729,0.5959195777188597,3.7042647435400557 
 01/01  14:00:00,-1.1,738.680308524697,1.0,169.43349014176136,1.0,169.43349014176136,738.680308524697,3.7753605886226246,7.205008361403671,4.726654000069516,0.7882115508691641,3.6839748991857199 
 01/01  14:15:00,-1.1,776.6737282144568,1.0,178.15692317953907,1.0,178.15692317953907,776.6737282144568,3.8269263738298737,8.019674956477932,4.892409424014318,0.9485633035350247,3.6738050454129986 
 01/01  14:30:00,-1.1,729.0813601735297,1.0,166.40516310952945,1.0,166.40516310952945,729.0813601735297,3.7882476563040545,7.6565950738633019,4.716884532178597,0.8597379945182411,3.667552533269232 
 01/01  14:45:00,-1.1,613.5209712923864,1.0,140.8967369711617,1.0,140.8967369711617,613.5209712923864,3.6906973955969226,6.44907974958711,4.273229295864553,0.566157769128381,3.654960004900115 
 01/01  15:00:00,-1.1,503.86638433571127,1.0,116.57355796743004,1.0,116.57355796743004,503.86638433571127,3.5938757739795306,5.2369708863567789,3.815416850989834,0.2628035593105551,3.6273041184885135 
 01/01  15:15:00,-1.1,399.1286926810121,1.0,93.14939272689483,1.0,93.14939272689483,399.1286926810121,3.496002119278817,4.1798958676866599,3.380787712790493,0.027903191370796777,3.5854206147738245 
 01/01  15:30:00,-1.1,247.25039705212277,1.0,57.94047897402063,1.0,57.94047897402063,247.25039705212277,3.328779822402443,2.0513865981658778,2.724411572309009,-0.40841407558781386,3.5240244560497735 
 01/01  15:45:00,-1.1,191.3538480402952,1.0,45.38251793443488,1.0,45.38251793443488,191.3538480402952,3.2680610080349767,1.4350102741612,2.4782478342402216,-0.5260298234136371,3.451309457652705 
 01/01  16:00:00,-1.1,133.3835988771441,1.0,32.02625108222755,1.0,32.02625108222755,133.3835988771441,3.1729555226252947,0.5639953198261044,2.2281360026007634,-0.6619239148486145,3.3744803797378628 
 01/01  16:15:00,-1.1,73.10087592385708,1.0,17.762198626050539,1.0,17.762198626050539,73.10087592385708,3.0485033436379198,-0.6977813761424895,1.9064068669390509,-0.9202420112982281,3.2906893770418845 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8742735423161016,-2.539723101194941,1.4955459536150784,-1.2867600105438442,3.1928413950764997 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.825809159855019,-2.6799758678452387,1.4126353458304948,-1.3337832862186475,3.096768173507183 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.7627416571916605,-2.87929925286157,1.3612347147727065,-1.3710246965521265,3.0161116161766547 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.711282901863874,-3.0260640720494718,1.2704106621063148,-1.5051898337405874,2.952531561438593 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6648790021864698,-3.178448068452357,1.1956784578494535,-1.626630431162539,2.9016156174490654 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.6228225349231049,-3.3302239413880985,1.1246183540906714,-1.7474225772796218,2.858281582426529 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.583057940873826,-3.48217360326715,1.056454482037509,-1.8670651041359748,2.819020197037116 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,2.5717652584713837,-3.3221290896222417,1.0096001987600403,-1.9355573158140942,2.7857050819229376 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.558763100824338,-3.2449974535459695,0.9632683234486876,-2.0198913772060225,2.7598548487850027 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,2.540756525162443,-3.315968288023004,0.9179283604140665,-2.112687526068953,2.7397674810300955 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.5248165875048684,-3.284539600111047,0.872886015048266,-2.206239342778815,2.7222660978099166 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.5276582258221,-2.981015058654291,0.9510772145827104,-2.015538050476607,2.7079889078410734 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.5300290940475564,-2.6808045820039068,1.0192786192911854,-1.7927945422889594,2.6973354429056779 
 01/01  19:45:00,-1.375,0.0,0.0,0.0,0.0,0.0,0.0,2.5340426087326519,-2.3819355505443524,1.093866050719953,-1.5754527870406037,2.6898094534051815 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.5397098906738999,-2.0844153115316725,1.1709739849558219,-1.3559795133230637,2.684648809701943 
 01/01  20:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.499670678981569,-2.3750775343940027,1.1129300936139544,-1.4716105026025162,2.67498291928541 
 01/01  20:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4607947080910788,-2.5966256040558588,1.0532435949418187,-1.5885107238910906,2.655893819476614 
 01/01  20:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.407799370705262,-2.953431985665464,0.9882042008136978,-1.7135426961428948,2.6260974609533389 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.3494619435320325,-3.4195385737524219,0.909880026491237,-1.8568733973643248,2.587468718859089 
 01/01  21:15:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.3648445501811268,-2.9151732761522686,0.9367409683279107,-1.7376653208206108,2.553966194913685 
 01/01  21:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.3717202103859997,-2.5736167952175714,0.9781780234050643,-1.6142638142556507,2.5334611250672895 
 01/01  21:45:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.376203729165356,-2.348433880513835,1.0183314872629126,-1.4969913486805809,2.524121387937198 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.384540170144586,-2.0567003827012515,1.0666046770058984,-1.3661693839949294,2.5209381605484966 
 01/01  22:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.344372619651902,-2.360425311039626,0.9552557378046913,-1.6217816191324346,2.513343929863632 
 01/01  22:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.306472745624628,-2.664972448543078,0.8366103184438316,-1.8967161150509356,2.4955983393485754 
 01/01  22:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.264512028121144,-2.970141858494618,0.7171059423040447,-2.1721434635685457,2.4682599526668889 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.218703564538498,-3.275663678540551,0.594451619249412,-2.4483909700020947,2.4340945912175568 
 01/01  23:15:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.191131600228268,-3.3294231735760024,0.5518171151466618,-2.508462036909691,2.3989396315896065 
 01/01  23:30:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.160427309947812,-3.383973207429623,0.5121032815007425,-2.566111120939638,2.3660468320292056 
 01/01  23:45:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.130569126560046,-3.438375510967848,0.4718644766876423,-2.623839225001234,2.335600258653439 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.1014177661692514,-3.492777674287398,0.432342773164919,-2.6812488785576535,2.3066848214524526 
